,SensorId, TimeStamp (s), AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g),Class
22,1,0.22,0.07373063,-0.9942866,0.07518262,0.25546774,1.12390828,-0.79854536,-46.74071884,1.54925454,-99.15229034,0.21044451,-0.1272229,-0.07662952,0.99999744,-0.00183573,0.00111145,0.00066668,-0.006989,-0.00100393,-0.00015264,2
23,1,0.23,0.06841238,-0.99739116,0.0773266,0.20305508,0.9319824,-0.59761709,-46.62379456,1.14001751,-99.06459808,0.2131331,-0.12197538,-0.0670485,0.99999762,-0.00185931,0.00106552,0.00058313,-0.00060612,0.00097174,0.00271772,2
24,1,0.24,0.06455319,-0.99899095,0.08110544,-0.0076969,0.58194298,-0.53968143,-46.88687515,1.25694239,-99.29844666,0.21346708,-0.11703928,-0.06084464,0.99999762,-0.00186231,0.00102235,0.00052907,0.00345738,0.00460809,0.00431398,2
25,1,0.25,0.06233362,-1.00401402,0.07914436,-0.11348265,0.47649667,-0.59464687,-46.88687515,1.25694239,-99.29844666,0.21268488,-0.1114743,-0.05557084,0.99999774,-0.00185555,0.00097369,0.00048314,0.00610397,0.00228908,0.00901415,2
26,1,0.26,0.05932341,-1.00966001,0.07244159,0.04852428,0.53075331,-0.87065578,-46.91610718,1.90002918,-99.38614655,0.21356878,-0.10319878,-0.04966351,0.99999785,-0.00186335,0.00090139,0.00043172,0.00959531,-0.00479747,0.01393569,2
27,1,0.27,0.0596862,-1.01770747,0.07187467,-0.0156567,0.09588642,-1.21480858,-46.53609848,2.10464764,-99.82460785,0.12506093,-0.16823304,-0.04372614,0.99999827,-0.0010908,0.00146852,0.00037998,0.00963417,-0.00558623,0.02192608,2
28,1,0.28,0.0722982,-1.00948191,0.06619978,-0.06190493,-0.35617679,-1.5251323,-47.06226349,1.60771704,-99.26921844,0.12427397,-0.15275979,-0.04608597,0.99999845,-0.00108396,0.00133352,0.00040073,-0.00430656,-0.00946587,0.01420891,2
29,1,0.29,0.0859144,-0.99686342,0.06522998,-0.02961677,-0.11259545,-1.44723773,-46.97456741,-0.02923122,-99.09383392,0.12397575,-0.13824412,-0.04610657,0.99999863,-0.00108141,0.00120684,0.00040105,-0.01850555,-0.00951575,0.00253374,2
30,1,0.3,0.08701032,-0.99239141,0.07596931,0.05509071,0.14881068,-1.17880464,-46.97456741,-0.02923122,-99.09383392,0.12467068,-0.12659933,-0.04378442,0.99999875,-0.00108753,0.0011052,0.00038089,-0.01963519,0.00151998,-0.00106157,2
31,1,0.31,0.07950507,-0.99416822,0.08451823,0.2492207,0.20287861,-0.79772842,-46.94533539,1.63694823,-99.29844666,0.12734158,-0.11879716,-0.04134287,0.99999881,-0.00111089,0.0010371,0.00035963,-0.01182013,0.00987686,0.00080163,2
32,1,0.32,0.06747096,-0.99741203,0.08380927,0.1937374,0.21936943,-0.51992905,-46.59456253,1.05232382,-99.3276825,0.21646693,-0.17933616,-0.05012163,0.9999969,-0.00188834,0.00156583,0.00043444,0.00022523,0.00851058,0.0031397,2
33,1,0.33,0.05388551,-1.00699687,0.08121467,0.09823754,0.60036284,-0.31493038,-46.71148682,0.67231804,-99.56153107,0.21786831,-0.17665415,-0.04398177,0.99999702,-0.00190066,0.00154232,0.00038088,0.0136322,0.00407079,0.01154572,2
34,1,0.34,0.04516263,-1.01417398,0.0795562,0.4599947,0.48328084,-0.70253706,-47.17918777,1.19848001,-100.0876923,0.22279763,-0.17001854,-0.03895798,0.99999696,-0.00194377,0.00148435,0.00033709,0.02291069,0.00182566,0.0179577,2
35,1,0.35,0.05315449,-1.01155281,0.07356799,-0.3234362,0.28328067,-1.03260863,-47.17918777,1.19848001,-100.0876923,0.21981841,-0.15994066,-0.03512808,0.9999972,-0.00191785,0.00139633,0.00030387,0.0148864,-0.00396388,0.01547291,2
36,1,0.36,0.07792255,-0.99907249,0.07040552,-0.78940642,0.22553456,-0.82361549,-47.12072372,1.05232382,-99.76615143,0.2121343,-0.15190332,-0.03170614,0.99999744,-0.00185085,0.00132612,0.00027423,-0.01054821,-0.00610962,0.00455416,2
37,1,0.37,0.09527601,-0.990444,0.07530829,-0.3770273,-0.01330054,-0.38575897,-47.14995575,0.96463019,-99.73691559,0.21431705,0.22434461,-0.03850838,0.99999636,-0.00187092,-0.00195714,0.00033971,-0.0267155,-0.00049734,-0.00246394,2
38,1,0.38,0.10092715,-0.99484462,0.07666714,0.77350372,-0.50403911,-0.10113926,-46.71148682,-2.01695418,-99.61999512,0.22166392,0.22574092,-0.0439828,0.99999613,-0.00193513,-0.00196921,0.00038763,-0.02712824,0.00039036,0.00241092,2
39,1,0.39,0.09655061,-0.99782854,0.075422,0.4922874,-0.95918673,-0.01193292,-46.21455765,1.05232382,-99.70768738,0.22586392,0.22659534,-0.05385787,0.99999601,-0.00197196,-0.00197648,0.00047389,-0.0225485,-0.00117765,0.00498466,2
